x,y,classLabel,id
29.466957381782983,75.32039174582722,0,p1
50.59414820269492,74.41568179188344,0,p2
42.89619245377351,23.70839216541865,1,p3
36.18556639233735,72.7939528004645,0,p4
36.65042668015402,23.70743486002081,1,p5
29.863409609518733,60.147753579364114,0,p6
38.32736367193513,63.64705436570881,0,p7
46.29916536749955,19.25892289776201,1,p8
32.43255670680072,74.31154924860985,0,p9
42.07284193945203,71.82738690525923,0,p10
47.75727971716262,62.72065851012128,0,p11
37.87126043575248,16.224485267973996,1,p12
38.75960451663017,20.78084151974866,1,p13
51.40030881899904,60.33928979249576,0,p14
35.45505718453795,61.4324181326642,0,p15
38.82299326990648,66.69536595612011,0,p16
44.60980990870981,84.07143177136444,0,p17
43.37306007961151,18.997768307060177,1,p18
42.45441069491491,73.42430991103365,0,p19
40.83706257889907,63.18851741382911,0,p20
31.94304495804388,72.6298861284197,0,p21
36.1012562892172,22.489197253637524,1,p22
36.86874673038874,78.96711453214579,0,p23
44.03950489026378,68.57868229769905,0,p24
33.71109730056149,73.44343420054554,0,p25
41.420461145959095,59.38979119501938,0,p26
36.37898084929739,79.86543208129906,0,p27
42.09127035855981,64.73746264933371,0,p28
41.31542721642919,20.05884997308197,1,p29
30.344765403898307,64.88348972040657,0,p30
45.12848054050905,69.43498393923993,0,p31
44.56626014889394,58.96525490111026,0,p32
51.43402072610768,61.97558224886919,0,p33
22.12255205568632,76.54023937867491,0,p34
30.86871349646603,74.68770784181027,0,p35
40.84206942198329,73.60107183841124,0,p36
40.93478633347598,68.9327111453362,0,p37
36.61769476390438,81.01790734303023,0,p38
44.5805595944784,69.61090730362682,0,p39
36.72489737158206,18.8387008925768,1,p40
39.86688654468118,62.98229444753534,0,p41
37.44274914081524,71.29276214105435,0,p42
45.41304432936023,19.427288624818104,1,p43
42.03811984886951,16.55361789452403,1,p44
39.74921772623034,80.95250559069804,0,p45
40.19822863291323,70.20829297647022,0,p46
40.67592376612282,18.891419213499923,1,p47
32.56387400391726,73.31514701444627,0,p48
40.41741258944122,65.47144255606098,0,p49
43.79023909743351,75.31408612211852,0,p50
